INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-6 cores-8 cores-16 cores-32 cores-64 
project2-02M46_ScaleXY_8 100 --- 49152 462 29568 1.0 0.981033845253 0.852966772287 --- 0.58292644181 0.469783914872 0.248450388092 0.164737609451 
project2-02M46_none_none 100 --- 2306867 27030 1783980 1.0 0.604738105181 0.143366901583 --- 0.182262869898 0.162811942272 0.0587470804754 0.0346058021062 
project3-04M96_ScaleXY_2 308 8 784384 24883 870905 1.0 1.91255090658 3.50186990292 --- 5.79300730279 9.15541692872 9.47192521118 7.63555010551 
project3-04M96_ScaleXY_4 100 8 204800 6300 220500 1.0 1.7231516179 3.06021503377 --- 3.50761409075 4.98121828962 3.63207286689 2.83560307629 
project3-04M96_ScaleXY_8 100 8 56320 1596 54264 1.0 1.46514401156 2.10399072475 --- 1.74739852488 1.83971652607 1.25180238422 0.384792767537 
project3-04M96_none_none 1227 8 3145728 99234 3473190 1.0 2.00315038205 --- --- 7.67375498544 14.0418518153 19.5226435375 16.8129396117 
project4-00M19_none_none 100 --- 342016 3834 141858 1.0 0.860606603992 0.159525488907 --- 0.112701988322 0.0919339765607 0.0528892274948 0.0361511111035 
project5-00M38_ScaleXY_2 295 91 144384 1920 63360 1.0 2.50645075697 2.50504699129 --- 2.73457553656 2.4127524088 1.71863589722 1.45511409202 
project5-00M38_ScaleXY_4 100 91 46080 480 15840 1.0 1.2260412892 1.3954786682 --- 0.892673106723 0.925495302631 0.637471231225 0.430026367323 
project5-00M38_ScaleXY_8 100 91 21504 120 3720 1.0 0.723965250902 0.71469059282 --- 0.672725337504 0.487478117943 0.290454945282 --- 
project5-00M38_none_none 1177 91 535552 7680 253440 1.0 1.82115627852 3.33986953779 --- 4.83111386529 6.08567518219 4.56290013721 3.74067813396 
rashda_june4_ScaleXY_2 252 16 969728 5248 325376 1.0 0.444400520835 0.607990132938 --- 1.52000295062 1.40133787149 0.624275841803 --- 
rashda_june4_ScaleXY_4 100 16 261120 1312 80032 1.0 0.656715884847 2.9546035755 --- 2.47639625797 2.1231778813 0.763333029487 --- 
rashda_june4_none_none 994 16 3774873 20701 1283462 1.0 1.56104498685 2.42532801238 --- 3.04947301752 3.80388219379 2.00051588444 --- 
