INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-6 cores-8 cores-16 cores-32 cores-64 
AdvectionFault_none_none 100 --- 29696 1089 19602 1.0 0.544406145489 0.532619723032 --- 0.428608334538 0.280782394998 0.171284054634 0.0931511347461 
AlphaTestFullRes_ScaleXY_2 100 26 61440 729 24786 1.0 1.60057456335 0.497190779606 --- 0.423357991868 0.311610881127 0.179289035586 0.651425893718 
AlphaTestFullRes_none_none 127 26 206848 2862 97308 1.0 --- --- --- --- 16.0 52.8987722294 222.243177987 
BIM9474FracturePressure_none_none 100 --- 340 4 48 1.0 0.552982826891 0.474025155719 --- --- --- --- --- 
BigProject-44M18_ScaleXY_2 100 --- 5033164 263169 8158239 1.0 2.0 2.57055008416 --- 1.76030733737 --- 0.973853206927 0.541345091569 
BigProject-44M18_ScaleXY_4 100 --- 1363148 66049 2047519 1.0 --- --- --- 0.774132806524 0.763297114966 0.446878205096 0.279526344838 
BigProject-44M18_ScaleXY_8 100 --- 345088 16641 515871 1.0 0.637136003056 0.606271261867 --- 0.500599915372 0.347859857809 0.138972695044 0.10487756144 
BrowseExtensionHigh3_ScaleXY_8 1125 120 1572864 4760 514080 1.0 1.48302434931 1.80343419294 --- 2.00647669048 1.69662257236 1.08219958076 0.782744210196 
CA1_scenario2_ScaleXY_2 398 71 757760 3510 161460 1.0 1.20846652479 2.33788893553 --- 2.20977670288 0.845103767581 0.379994988839 0.853834309078 
CA1_scenario2_ScaleXY_4 102 71 219136 897 39468 1.0 0.713010200221 1.14603644792 --- 1.15520523674 0.986127728254 0.553369381891 0.45720794904 
CA1_scenario2_ScaleXY_8 100 71 89088 240 10560 1.0 0.381507232512 0.649706181719 --- 0.374431504305 0.435086574202 0.283029883856 --- 
CA1_scenario2_none_none 1563 71 2936012 13795 634570 1.0 1.01507620297 2.71401592602 --- 4.25974368166 4.32869790965 3.88980680032 1.97007571101 
F3_Salt_none_none 100 --- 812 4 208 1.0 0.500789610956 0.334136320002 --- --- --- --- --- 
F3_SeaBed_none_none 100 --- 836 4 208 1.0 0.519210346077 0.445771624699 --- --- --- --- --- 
FriesianSMTest_ScaleXY_2 100 21 195584 1728 117504 1.0 0.792108988523 --- --- --- --- --- --- 
