INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
HPHTLwrRchLwTOC_none_none 307 3629 484656 2601 117045 1.0 --- 2.78215669596 3.2564159292 3.43620870783 --- --- 
IOtest-95M00_ScaleXY_2 47000 38 78478368 250000 20500000 1.0 --- --- 8.0 14.7190161786 --- --- 
IOtest-95M00_ScaleXY_4 11750 38 10631264 62500 5125000 1.0 2.0 3.57134065934 6.17949498023 --- --- --- 
IOtest-95M00_ScaleXY_8 2938 38 5217340 15625 1281250 1.0 1.6736318408 3.05679236711 5.18335901387 --- --- --- 
K3AllSand_ScaleXY_2 1988 166 1534304 7644 894348 1.0 1.76347078686 2.99603643697 4.64639275315 --- --- --- 
K3AllSand_ScaleXY_4 503 149 375088 1932 224112 1.0 1.61957494407 3.10375133976 4.20778843359 --- --- --- 
K3AllSand_ScaleXY_8 126 132 104968 483 55062 1.0 1.41642734061 2.6289978678 3.23197903014 --- --- --- 
K3AllSand_none_none 5635 178 3995252 21672 2448936 1.0 1.58782206375 2.74459811438 4.47658937921 --- --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_2 1988 1838 2014945 7644 894348 1.0 2.0 3.42247113138 5.6265666924 --- --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_4 503 377 498592 1932 224112 1.0 2.0 3.00913433336 4.6858932533 5.24663939217 --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_8 126 319 139836 483 55062 1.0 1.55013477089 2.55259653795 3.40497335702 --- --- --- 
K3_CBM_DIONISOS_SAND1_none_none 5635 317 5314023 21672 2448936 1.0 --- 4.0 6.48483635163 --- --- --- 
LargeSMTest_ScaleXY_2 101 63 36032 1728 29376 1.0 1.30697674419 2.81 2.92708333333 --- --- --- 
LargeSMTest_ScaleXY_4 100 63 24720 432 7344 1.0 0.881720430108 1.78260869565 1.10810810811 --- --- --- 
LargeSMTest_none_none 396 63 264192 6816 115872 1.0 1.68142857143 2.98730964467 4.40823970037 --- --- --- 
LunskoyeDeepHT_ScaleXY_2 1801 523 1621076 10980 757620 1.0 1.20224343675 2.14503491739 3.37657520779 --- --- --- 
LunskoyeDeepHT_ScaleXY_4 451 489 421088 2745 183915 1.0 1.26767107857 2.6027753686 3.66273393002 --- --- --- 
LunskoyeDeepHT_ScaleXY_8 117 438 135756 713 46345 1.0 2.40163934426 3.9141221374 3.67562724014 --- --- --- 
LunskoyeDeepHT_none_none 7203 557 3232561 43920 3074400 1.0 --- 4.0 6.58713981963 --- --- --- 
LunskoyeDeepL4_ScaleXY_2 1801 1387 1621076 10980 757620 1.0 --- --- 8.0 --- --- --- 
LunskoyeDeepL4_ScaleXY_4 451 1020 421080 2745 183915 1.0 1.50823805336 2.18225779085 --- --- --- --- 
LunskoyeDeepL4_ScaleXY_8 117 544 135756 713 46345 1.0 1.48286290323 2.28179937952 --- --- --- --- 
LunskoyeDeep_test_GSY_ScaleXY_2 1779 395 1196335 10980 724680 1.0 1.60987959941 2.23442136499 3.47651061072 4.2614177919 --- --- 
LunskoyeDeep_test_GSY_ScaleXY_4 445 384 313060 2745 175680 1.0 1.76740776936 2.73187311178 3.94438386041 --- 3.75402179554 --- 
LunskoyeDeep_test_GSY_ScaleXY_8 116 320 99956 713 44206 1.0 3.23901581722 4.73778920308 5.92604501608 --- 2.33883248731 --- 
LunskoyeDeep_test_GSY_none_none 7116 452 2380552 43920 2898720 1.0 2.0 2.80489998665 4.57675264175 --- --- --- 
LunskoyeV2005_08_ScaleXY_2 352 18 12588 10980 43920 1.0 1.40145985401 3.0 --- --- --- --- 
LunskoyeV2005_08_ScaleXY_4 100 18 4104 2745 10980 1.0 1.14285714286 2.5 --- --- --- --- 
LunskoyeV2005_08_ScaleXY_8 100 18 2052 713 2852 1.0 0.909090909091 1.42857142857 --- --- --- --- 
LunskoyeV2005_08_none_none 1406 18 22740 9 36 1.0 1.83116883117 3.10377358491 --- --- --- --- 
LwrRachmat_ScaleXY_2 100 2804 117292 576 25920 1.0 1.61847789963 2.39665354331 --- --- --- --- 
LwrRachmat_none_none 259 3707 408936 2304 103680 1.0 1.52841903257 2.64598397499 --- --- --- --- 
Model3D_v5_ScaleXY_2 627 459 285028 3685 265320 1.0 1.47337034752 2.0618705036 --- --- --- --- 
Model3D_v5_ScaleXY_4 162 347 80288 952 66640 1.0 1.48073959938 2.31287605295 --- --- --- --- 
Model3D_v5_none_none 2488 851 1119488 14630 1067990 1.0 4.89662311373 4.18928599543 --- --- --- --- 
Model3D_v6_scenario8_gsy_ScaleXY_2 634 342 308440 3685 269005 1.0 2.60165764547 3.418 --- --- --- --- 
Model3D_v6_scenario8_gsy_ScaleXY_4 164 303 178740 952 67592 1.0 1.80374926772 2.34501142422 --- --- --- --- 
Model3D_v6_scenario8_gsy_none_none 2517 772 1241083 14630 1082620 1.0 1.57512224529 2.61830531121 --- --- --- --- 
NVG_2004_TEST_ScaleXY_2 1688 454 852582 14803 680938 1.0 --- --- --- --- --- --- 
NVG_ReducedArea_25oct06_ScaleXY_2 469 488 416392 5859 169911 1.0 1.55706151613 2.51109110551 --- --- --- --- 
NVG_ReducedArea_25oct06_ScaleXY_4 121 390 121108 1504 42112 1.0 1.69708936668 2.96297242084 --- --- --- --- 
NVG_ReducedArea_25oct06_none_none 1850 289 798264 23125 670625 1.0 --- 4.0 --- --- --- --- 
NVG_Reduced_TCalib5_ScaleXY_2 446 14 258448 5859 169911 1.0 2.26525821596 2.63661202186 --- --- --- --- 
NVG_Reduced_TCalib5_ScaleXY_4 115 14 81624 1504 42112 1.0 11.1761363636 17.407079646 --- --- --- --- 
NVG_Reduced_TCalib5_none_none 1758 14 475308 23125 670625 1.0 1.30176583062 2.42692388341 --- --- --- --- 
NVG_revised_model_ScaleXY_2 2340 445 836340 24883 870905 1.0 1.83538072835 3.50815986678 --- --- --- --- 
NVG_revised_model_ScaleXY_4 593 448 440460 6300 220500 1.0 1.97129714811 3.67673301304 --- --- 8.41633935585 --- 
NVG_revised_model_ScaleXY_8 151 393 149268 1596 54264 1.0 2.7109929078 5.0131147541 --- --- 3.27408993576 --- 
NVG_revised_model_none_none 9328 388 3142290 99234 3473190 1.0 2.0 3.57370026874 --- --- 21.8137641835 --- 
opl_245_C_ScaleXY_8 1118 531 1454794 12416 372480 1.0 --- --- --- --- --- --- 
project2-02M46_none_none 4758 1609 7759462 27030 1783980 1.0 --- --- --- --- 32.0 --- 
project3-04M96_none_none 9328 476 10066329 99234 3473190 1.0 2.0 24.5123632549 6.4401834754 12.0370152329 --- --- 
project4-00M19_none_none 376 2288 1258291 3834 141858 1.0 1.71007778059 2.27567330238 --- --- --- --- 
project5-00M38_none_none 569 64 940032 7680 253440 1.0 1.79524158126 2.43452794599 47.896484375 --- --- --- 
