INSTANCE,MEMORY_REQUIRED,TOTAL_2D_GRIDPOINTS,TOTAL_3D_GRIDPOINTS,p1,p2,p4,p8,p16,p32,p64
CA1_scenario2_ScaleXY_4,100,897,39468,1,0.149425287,0.764705882,0.448275862,0.286764706,0.139784946,0.106557377
AANVG_Reduced_TCalib5Small_ScaleXY_4,115,1504,42112,1,0.166666667,0.666666667,0.428571429,0.206896552,0.157894737,0.105263158
NVG_Reduced_TCalib5_ScaleXY_4,115,1504,42112,1,0.615384615,0.615384615,0.078431373,0.142857143,0.205128205,
NVG_ReducedArea_25oct06_ScaleXY_4,121,1504,42112,1,0.769230769,0.833333333,0.133333333,0.238095238,0.23255814,
NVG_2004_TEST_ScaleXY_8,110,957,43065,1,0.636363636,0.388888889,0.036842105,0.046052632,0.166666667,0.109375
LunskoyeV2005_08_ScaleXY_2,352,10980,43920,0,0,0,0,0,0,0
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2,112,957,44022,1,0.705882353,0.6,0.363636364,0.255319149,0.12371134,0.092307692
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2,112,957,44022,1,0.705882353,0.666666667,0.4,0.266666667,0.162162162,0.091603053
LunskoyeDeep_test_GSY_ScaleXY_8,116,713,44206,1,0.555555556,0.555555556,0.357142857,0.217391304,0.135135135,0.102040816
LunskoyeDeepHT_ScaleXY_8,117,713,46345,1,0.6,0.6,0.375,0.193548387,0.133333333,0.098360656
LunskoyeDeepL4_ScaleXY_8,117,713,46345,1,0.7,0.7,0.4375,0.2,0.14,0.112903226
Gron_Olaf_nod_newHC_ScaleXY_8,102,1107,50922,1,0.38961039,0.338028169,0.234833659,0.263157895,0.201342282,0.122574055
NVG_revised_model_ScaleXY_8,151,1596,54264,1,0.128205128,0.065789474,0.052631579,0.042016807,0.151515152,
project3-04M96_ScaleXY_8,151,1596,54264,1,0.571428571,0.571428571,0.363636364,0.181818182,0.121212121,0.086956522
K3_CBM_DIONISOS_SAND1_ScaleXY_8,126,483,55062,1,0.764705882,0.838709677,0.530612245,0.295454545,0.171052632,0.123809524
