Requirements:  APPLICATION_NAME=decompaction  INSTANCE  TOTAL_2D_GRIDPOINTS  TOTAL_3D_GRIDPOINTS  X_GRIDPOINTS  Y_GRIDPOINTS  ZP_SEGMENTS  Z_SEGMENTS  ZT_SEGMENTS  CRUST_SEGMENTS  MANTLE_SEGMENTS  NUMBER_OF_EVENTS  RESERVOIRS  SOURCE_ROCKS  
project2-02M46_none_none_0_decompaction_4_1.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_2_0_decompaction_1_1.tag  project2-02M46_ScaleXY_2  7134  470844  82  87  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_2_0_decompaction_2_1.tag  project2-02M46_ScaleXY_2  7134  470844  82  87  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_2_0_decompaction_4_1.tag  project2-02M46_ScaleXY_2  7134  470844  82  87  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_4_0_decompaction_1_1.tag  project2-02M46_ScaleXY_4  1804  119064  41  44  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_4_0_decompaction_2_1.tag  project2-02M46_ScaleXY_4  1804  119064  41  44  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_4_0_decompaction_4_1.tag  project2-02M46_ScaleXY_4  1804  119064  41  44  64  90  90  15  11  18  ---  ---  
Acquifer-00M03_ScaleXY_2_0_decompaction_8_1.tag  Acquifer-00M03_ScaleXY_2  121  6655  11  11  53  66  66  8  5  7  1  1  
project2-02M46_none_none_0_decompaction_16_1.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_2_0_decompaction_16_1.tag  project2-02M46_ScaleXY_2  7134  470844  82  87  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_4_0_decompaction_16_1.tag  project2-02M46_ScaleXY_4  1804  119064  41  44  64  90  90  15  11  18  ---  ---  
project3-04M96_ScaleXY_8_0_decompaction_1_1.tag  project3-04M96_ScaleXY_8  1596  54264  38  42  32  48  48  9  7  11  1  1  
project2-02M46_ScaleXY_8_0_decompaction_16_1.tag  project2-02M46_ScaleXY_8  462  29568  21  22  62  88  88  15  11  18  ---  ---  
project3-04M96_ScaleXY_8_0_decompaction_2_1.tag  project3-04M96_ScaleXY_8  1596  54264  38  42  32  48  48  9  7  11  1  1  
project3-04M96_ScaleXY_8_0_decompaction_4_1.tag  project3-04M96_ScaleXY_8  1596  54264  38  42  32  48  48  9  7  11  1  1  
project3-04M96_none_none_0_decompaction_16_1.tag  project3-04M96_none_none  99234  3473190  298  333  33  49  49  9  7  11  1  1  
project3-04M96_ScaleXY_2_0_decompaction_16_1.tag  project3-04M96_ScaleXY_2  24883  870905  149  167  33  49  49  9  7  11  1  1  
project3-04M96_ScaleXY_4_0_decompaction_16_1.tag  project3-04M96_ScaleXY_4  6300  220500  75  84  33  49  49  9  7  11  1  1  
project4-00M19_none_none_0_decompaction_1_1.tag  project4-00M19_none_none  3834  141858  1917  2  35  48  48  8  5  18  ---  ---  
project3-04M96_ScaleXY_8_0_decompaction_8_1.tag  project3-04M96_ScaleXY_8  1596  54264  38  42  32  48  48  9  7  11  1  1  
project4-00M19_none_none_0_decompaction_2_1.tag  project4-00M19_none_none  3834  141858  1917  2  35  48  48  8  5  18  ---  ---  
0FaultTest01_none_none_0_decompaction_1_1.tag  0FaultTest01_none_none  23125  138750  185  125  4  17  17  8  5  3  1  ---  
0FaultTest01_none_none_0_decompaction_2_1.tag  0FaultTest01_none_none  23125  138750  185  125  4  17  17  8  5  3  1  ---  
