INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2 112 18 111972 957 44022 1.0 0.705882352941 0.6 0.363636363636 0.255319148936 0.123711340206 0.0923076923077 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4 100 18 7680 255 11730 1.0 0.75 0.705882352941 0.4 0.272727272727 0.166666666667 --- 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8 100 18 43008 72 3240 1.0 0.875 0.823529411765 0.48275862069 0.0707070707071 --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_none_none 100 18 45056 400 13200 1.0 0.75 0.666666666667 0.4 0.266666666667 0.155844155844 0.0285035629454 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2 112 18 111972 957 44022 1.0 0.705882352941 0.666666666667 0.4 0.266666666667 0.162162162162 0.0916030534351 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4 100 18 75776 255 11730 1.0 0.6875 0.611111111111 0.379310344828 0.2 0.0901639344262 --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8 100 18 44032 72 3240 1.0 0.625 0.588235294118 0.333333333333 0.188679245283 0.0900900900901 --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none 430 18 373760 3705 170430 1.0 1.0 0.954545454545 0.65625 0.256097560976 0.203883495146 0.127272727273 
AMT_IO_Pressure_Model_ScaleXY_2 100 21 145792 957 37323 1.0 0.941176470588 0.8 0.444444444444 0.170212765957 0.132231404959 0.106666666667 
AMT_IO_Pressure_Model_ScaleXY_4 100 21 99328 255 9945 1.0 0.823529411765 0.736842105263 0.297872340426 0.122807017544 0.112903225806 --- 
AMT_IO_Pressure_Model_ScaleXY_8 100 21 3788 72 2736 1.0 0.764705882353 0.619047619048 0.361111111111 0.236363636364 0.136842105263 --- 
AMT_IO_Pressure_Model_none_none 378 21 490496 3705 144495 1.0 0.875 0.84 0.525 0.375 0.221052631579 0.144827586207 
Acquifer-00M03_ScaleXY_2 100 7 9420 121 6655 1.0 1.0 0.4 0.25 0.153846153846 --- --- 
Acquifer-00M03_ScaleXY_4 100 7 5632 36 1980 1.0 1.0 0.2 0.125 0.0909090909091 --- --- 
Acquifer-00M03_ScaleXY_8 100 7 2150 9 477 1.0 0.5 0.2 --- --- --- --- 
Acquifer-00M03_none_none 100 7 13260 441 24255 1.0 0.25 0.5 0.142857142857 0.0909090909091 0.0555555555556 0.05 
