Size,,1,2,4,8,16,32
9,a9,1,1.821480876,3.056664762,,,
289,a289,1,1.359512176,1.58478744,1.131720436,0.708313232,
400,a400,1,1.533720356,1.952588735,1.893029222,0.747931002,
432,a432,1,1.621689893,2.630421642,3.380903574,2.744173963,
441,a441,1,1.567303114,2.6342065,3.41147787,2.750123743,
441,a441,1,1.592784547,2.529832476,3.113413558,2.375820066,0.777523002
483,a483,1,1.412342434,2.592358791,3.1607644,,
483,a483,1,1.548801548,2.538070611,3.36650727,,
576,a576,1,1.61590858,2.382589014,,,
608,a608,1,1.518375729,2.376351074,1.174485,2.725659835,
676,a676,1,1.505789139,2.656355384,2.961394862,1.884725701,
676,a676,1,1.520780501,2.191599134,2.223735741,2.082768994,
676,a676,1,1.584050302,2.489461743,2.082856761,1.564525666,
713,a713,1,1.480985752,2.276747951,,,
897,a897,1,1.312661375,1.80309417,0.588750453,0.676258792,
952,a952,1,1.473768128,2.279801753,,,
957,a957,1,1.693080616,2.587396057,3.833758472,3.535329197,
957,a957,1,1.556854109,2.077390134,2.3702115,2.017427922,
1089,a1089,1,1.521712704,2.496919543,2.937049531,2.111469914,
1107,a1107,1,1.209945681,1.492326025,1.25288253,0.61286936,
1504,a1504,1,1.466711188,1.473834092,1.190132669,0.76927019,0.386301333
1504,a1504,1,1.54381765,2.261817671,2.632793003,1.79468379,
1504,a1504,1,1.696152345,2.952039672,,,
1728,a1728,1,1.345937683,2.303804128,3.677606901,4.212234164,
1728,a1728,1,1.294347672,2.664662248,2.688956254,,
1836,a1836,1,1.694126975,2.409240274,3.57746769,3.84204672,3.047417503
1932,a1932,1,1.617440893,3.094513583,3.754306953,,
2304,a2304,1,1.52797869,2.643689592,,,
2331,a2331,1,1.467194088,2.454129779,2.999416128,4.773272841,
2601,a2601,1,1.539040641,2.464077178,3.877344153,3.615506763,
2601,a2601,1,1.516931616,2.461271484,3.700624199,3.892484996,
2745,a2745,1,1.267902417,2.599244946,3.609947461,,
2745,a2745,1,1.508162864,2.181573083,,,
2745,a2745,1,1.767484276,2.725282285,3.91777187,,
2745,a2745,1,1.123899998,1.958255508,,,
2862,a2862,1,1.640835641,2.393747576,0.032291712,2.925447389,
3510,a3510,1,1.418777818,2.393051828,2.477594381,2.092686281,
3685,a3685,1,1.471620677,2.056728557,,,
3705,a3705,1,1.613823872,2.338879259,3.664796967,4.50619234,
3705,a3705,1,1.60840754,2.285502303,3.687112283,3.876108305,
3834,a3834,1,1.710001342,2.275478494,,,
4428,a4428,1,1.350832976,2.02699205,2.222583774,1.912329039,
5859,a5859,1,1.719545466,2.205493471,3.296527428,3.970498817,
5859,a5859,1,1.556995725,2.510211965,,,
5859,a5859,1,1.307923331,1.761444451,1.862508955,1.282920492,0.915590342
6300,a6300,1,1.962459941,3.654046228,,,
6816,a6816,1,1.671801761,2.943343241,4.246847984,,
7344,a7344,1,1.733698747,2.463243063,3.856079042,4.911374225,5.916721376
7644,a7644,1,1.761642041,2.994094098,4.641384738,,
10980,a10980,1,1.609493743,2.233540685,3.468642663,4.221361484,
13795,a13795,1,1.488457914,2.547745126,3.709884235,4.161769417,
14630,a14630,1,1.575137758,2.617275247,,,
15625,a15625,1,1.671905039,3.047654316,5.14429586,,
16641,a16641,1,1.465805387,2.24848197,3.812642156,5.163242528,
21672,a21672,1,1.587805728,2.743815002,4.475336844,,
23125,a23125,1,1.546767475,2.167783298,3.310433487,3.708780173,2.980955528
24883,a24883,1,1.834436732,3.500177262,,,
43920,a43920,1,2,2.804936986,4.57629452,,
50861,a50861,1,,4,6.378128158,,
62500,a62500,1,2,3.569434587,6.170405005,,
99234,a99234,1,2,3.573045344,,,
250000,a250000,1,,,8,14.70796178,
263169,a263169,1,,,8,,
