#wellname X Y Z property obs_val
# do not use tab for spacing
0_G_12             "Temperature"  617869  6627144 2766     113
0_SAV-44           "Temperature"  615070  6657014 2815     134
0_VS_13            "Temperature"  602712  6656459 2707     120
Verkhane-Saly-18   "Temperature"  602612  6650361 2762     117
