Acquifer,4,4,0
AreaC,8,8,0
Bonaparte,8,6,0
Borneo,22,22,0
China,6,6,0
GOM,4,14,0
Gabon,4,6,0
GreenRiver,28,28,0
Groningen,22,22,0
L02,6,6,0
Marmul,10,10,0
Mensa,6,6,0
NAM,2,2,0
NVG,10,10,0
Nigeria,4,2,0
Oman,10,10,0
Perdido,40,40,0
SCaspian,30,25,0
SNS,4,8,0
Saudi,10,8,0
SharkDipLine,4,1,0
Trinidad,6,2,0
Tutorial,4,4,0
WNB,8,10,0
