Requirements:  APPLICATION_NAME=generation  
INSTANCE  MAX_2D_GRIDPOINTS_PER_PROCESS  DURATION  
0FaultTest01_ScaleXY_8  24.0  37.9438538551  
Acquifer-00M03_ScaleXY_8  9.0  7.20365095139  
Acquifer-00M03_ScaleXY_8  4.0  17.0175158978  
Acquifer-00M03_ScaleXY_8  6.0  15.8411819935  
Acquifer-00M03_none_none  441.0  43.215585947  
Acquifer-00M03_none_none  36.0  41.8828029633  
Acquifer-00M03_none_none  231.0  24.4630379677  
Acquifer-00M03_ScaleXY_8  6.0  15.6086251736  
Acquifer-00M03_ScaleXY_4  36.0  8.48282384872  
Acquifer-00M03_ScaleXY_4  9.0  45.2302429676  
project3-04M96_ScaleXY_8  399.0  67.8359699249  
project3-04M96_ScaleXY_8  1596.0  99.5796129704  
project2-02M46_ScaleXY_4  1623.6  9.13155794144  
project2-02M46_ScaleXY_4  453.222  14.2133350372  
project2-02M46_ScaleXY_4  862.312  12.5713691711  
project5-00M38_ScaleXY_2  3840.0  254.287060022  
project3-04M96_ScaleXY_4  6300.0  384.579458952  
project3-04M96_none_none  49766.0  2807.47195292  
project3-04M96_none_none  99234.0  5623.78851509  
AANVG_Reduced_TCalib5Small_ScaleXY_2  2961.0  143.694457054  
AANVG_Reduced_TCalib5Small_ScaleXY_2  5859.0  239.87284708  
AANVG_Reduced_TCalib5Small_ScaleXY_8  384.0  30.9485108852  
AANVG_Reduced_TCalib5Small_none_none  11625.0  483.327001095  
CA1_scenario2_ScaleXY_4  209.04  343.321806192  
AANVG_Reduced_TCalib5Small_none_none  23125.0  933.309851885  
AANVG_Reduced_TCalib5Small_none_none  5859.0  269.676851034  
AMT2007_SandLayers_L4GL_FULL_isolated_none_none  400.0  6.48403215408  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2  957.0  7.69967484474  
AANVG_Reduced_TCalib5Small_ScaleXY_8  192.0  31.8430528641  
AANVG_Reduced_TCalib5Small_ScaleXY_2  1504.0  74.3941838741  
AMT2007_SandLayers_L4GL_FULL_isolated_none_none  200.0  10.0284490585  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2  72.0  12.2297451496  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4  255.0  6.02155995369  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8  72.0  5.32206010818  
CA1_scenario2_ScaleXY_2  830.622  335.023491144  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4  135.0  10.068292141  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8  40.0  8.93580913544  
AANVG_Reduced_TCalib5Small_ScaleXY_8  96.0  18.9978010654  
AMT_IO_Pressure_Model_none_none  3705.0  14.3742609024  
AMT_IO_Pressure_Model_none_none  1881.0  15.9709789753  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2  957.0  7.72650384903  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2  493.0  11.9744429588  
AMT2007_SandLayers_L4GL_FULL_isolated_none_none  100.0  11.2734110355  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2  255.0  12.5556409359  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4  72.0  10.965583086  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8  72.0  5.19481182098  
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none  3705.0  13.3238739967  
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none  957.0  13.5585741997  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2  255.0  12.7044970989  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4  135.0  9.79315900803  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8  40.0  9.04417085648  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4  72.0  11.0888690948  
AMT_IO_Pressure_Model_none_none  5859.0  16.2871229649  
AMT_IO_Pressure_Model_ScaleXY_4  255.0  7.03037714958  
AMT_IO_Pressure_Model_ScaleXY_2  957.0  9.88149595261  
AMT_IO_Pressure_Model_ScaleXY_2  255.0  43.7395339012  
AMT_IO_Pressure_Model_ScaleXY_4  135.0  10.2879188061  
CA1_scenario2_ScaleXY_8  160.08  95.1104359627  
F3_Salt_none_none  4.0  4.12048888206  
CA1_scenario2_ScaleXY_8  90.0  249.301789999  
