INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
BigProject-44M18_ScaleXY_4 67766 --- 1468006 66049 2047519 --- --- --- --- 0:00:04 0:00:12 --- 
BigProject-44M18_ScaleXY_8 67766 --- 493568 16641 515871 --- --- --- --- 0:00:03 0:00:11 --- 
BrowseExtensionHigh3_ScaleXY_8 54585 --- 4613734 4760 514080 --- --- --- --- 0:13:03 0:16:29 --- 
CA1_scenario2_ScaleXY_2 1139 --- 891904 3510 161460 0:02:19 0:06:30 0:04:21 0:07:33 0:09:07 0:10:57 --- 
CA1_scenario2_ScaleXY_4 1139 --- 369664 897 39468 0:03:34 0:02:49 0:03:59 0:06:50 0:07:09 0:10:03 --- 
CA1_scenario2_ScaleXY_8 1139 --- 241664 240 10560 0:01:50 0:06:05 0:04:05 0:06:34 0:07:36 0:10:15 --- 
CA1_scenario2_none_none 1139 --- 2936012 13795 634570 0:03:04 --- 0:04:24 0:05:16 0:09:03 1:15:57 0:27:30 
F3_SeaBed_none_none 100 --- 828 4 208 0:00:01 --- 0:00:01 --- --- --- --- 
FriesianSMTest_ScaleXY_2 778 --- 209920 1728 117504 0:00:22 0:01:14 --- --- --- --- --- 
FriesianSMTest_ScaleXY_4 778 --- 72704 432 28080 0:00:18 0:01:09 --- --- --- --- --- 
Friesian_ScaleXY_2 778 --- 209920 1728 117504 0:00:29 0:01:09 0:01:07 0:00:58 0:01:10 0:02:27 0:03:39 
Friesian_ScaleXY_4 778 --- 72704 432 28080 0:00:24 0:00:18 0:00:39 --- 0:01:11 0:02:11 0:03:23 
Friesian_ScaleXY_8 778 --- 39936 108 6804 0:00:16 0:00:54 0:00:37 0:00:48 0:01:24 0:02:15 --- 
Friesian_none_none 778 --- 700416 6816 463488 --- --- 0:00:36 --- 0:01:01 0:02:25 0:05:16 
Greater_Mars_Ursa_ScaleXY_2 1642 --- 422912 2331 249417 0:02:29 0:05:50 --- 0:14:49 0:13:21 --- --- 
Greater_Mars_Ursa_ScaleXY_4 1642 --- 172032 608 62624 0:03:11 0:07:31 0:08:47 0:14:00 0:16:31 0:21:34 --- 
Greater_Mars_Ursa_ScaleXY_8 1642 --- 97280 160 15200 0:03:16 0:05:40 0:12:58 0:13:55 0:13:20 0:21:58 --- 
Greater_Mars_Ursa_none_none 1564 --- 1572864 8760 954840 --- --- 0:02:20 0:08:21 0:13:42 0:22:33 --- 
Gron_Olaf_nod_newHC_ScaleXY_2 4844 --- 6081740 17604 880200 0:03:50 0:03:39 0:03:58 0:04:54 --- 0:10:18 0:21:06 
Gron_Olaf_nod_newHC_ScaleXY_4 4844 --- 2202009 4428 221400 0:03:18 0:26:17 0:03:41 0:05:13 0:07:21 --- 0:19:47 
Gron_Olaf_nod_newHC_ScaleXY_8 4844 --- 801231 1107 50922 0:03:23 0:02:57 0:03:48 0:04:33 0:06:38 0:09:19 0:21:53 
Gron_Olaf_nod_newHC_none_none 3510 --- 15728640 50861 2593911 0:10:12 --- --- --- --- 0:08:22 0:22:22 
HB_test_sand_none_none 100 --- 5324 202 4646 0:00:01 0:00:01 --- 0:00:01 0:00:02 0:00:05 0:00:09 
HPHTLwrRchLwTOC_ScaleXY_2 231 --- 138240 676 30420 0:00:22 0:00:37 0:00:42 0:01:24 0:01:36 0:03:46 0:04:23 
HPHTLwrRchLwTOC_ScaleXY_4 231 --- 55296 169 7098 0:00:19 0:00:34 0:00:35 0:00:59 0:01:35 0:02:18 --- 
HPHTLwrRchLwTOC_ScaleXY_8 231 --- 35840 49 2058 0:00:17 0:00:30 0:00:38 0:00:59 0:01:48 --- --- 
HPHTLwrRchLwTOC_none_none 231 --- 441344 2601 117045 0:00:31 0:00:35 0:00:45 0:01:03 0:01:33 0:02:48 0:04:48 
Hohonu_2d_v1_200mA_none_none 105 --- 139264 1186 56928 0:00:06 0:00:06 0:00:06 0:00:06 0:00:06 0:00:08 0:00:11 
IOtest-95M00_ScaleXY_2 141000 --- 39845888 250000 20500000 --- --- --- --- --- 0:00:16 --- 
IOtest-95M00_ScaleXY_4 141000 --- 10066329 62500 5125000 --- --- --- --- --- 0:00:13 --- 
IOtest-95M00_ScaleXY_8 141000 --- 2831155 15625 1281250 --- --- --- --- --- 0:00:10 --- 
IOtest-95M00_none_none 141000 --- 156237824 1000000 82000000 --- --- --- --- --- 0:01:35 0:00:16 
K3AllSand_ScaleXY_2 5927 --- 1468006 7644 894348 --- 0:00:08 0:00:09 0:00:10 0:00:11 0:00:13 0:00:13 
K3AllSand_ScaleXY_4 5927 --- 401408 1932 224112 --- 0:00:08 0:00:08 0:00:08 0:00:08 0:00:09 0:00:18 
K3AllSand_ScaleXY_8 5927 --- 139264 483 55062 --- 0:00:04 0:00:05 0:00:05 0:00:06 0:00:06 0:00:10 
K3AllSand_none_none 4227 --- 3879731 21672 2448936 0:00:10 --- 0:00:11 0:00:10 0:00:10 0:00:12 0:00:15 
K3_CBM_DIONISOS_SAND1_ScaleXY_2 5927 --- 1887436 7644 894348 --- 0:00:13 0:00:12 0:00:12 0:00:13 0:00:14 0:00:18 
K3_CBM_DIONISOS_SAND1_ScaleXY_4 5927 --- 493568 1932 224112 --- 0:00:10 --- 0:00:10 0:00:12 0:00:12 0:00:18 
K3_CBM_DIONISOS_SAND1_ScaleXY_8 5927 --- 164864 483 55062 --- 0:00:06 0:00:06 0:00:06 0:00:07 0:00:08 0:00:14 
K3_CBM_DIONISOS_SAND1_none_none 4227 --- 4928307 21672 2448936 --- 0:00:10 --- 0:00:14 0:00:15 0:00:15 0:00:19 
L2_Mdst50Pct_NonGeoLoop_none_none 420 --- 655360 2916 253692 --- --- 0:00:08 --- 0:00:13 0:00:17 --- 
LargeSMTest_ScaleXY_2 297 --- 48128 1728 29376 0:00:02 0:00:03 0:00:02 0:00:03 0:00:03 0:00:04 --- 
LargeSMTest_ScaleXY_4 297 --- 16384 432 7344 0:00:01 0:00:02 0:00:01 0:00:01 0:00:02 0:00:03 --- 
LargeSMTest_ScaleXY_8 297 --- 8499 108 1836 0:00:01 0:00:01 0:00:01 0:00:02 0:00:02 --- --- 
LargeSMTest_none_none 297 --- 133120 6816 115872 0:00:03 0:00:03 0:00:03 0:00:03 0:00:05 0:00:05 0:00:10 
LunskoyeDeepHT_ScaleXY_2 5403 --- 815104 10980 757620 0:00:06 --- 0:00:06 0:00:06 0:00:06 0:00:15 --- 
LunskoyeDeepHT_ScaleXY_4 5403 --- 223232 2745 183915 0:00:06 0:00:05 0:00:05 0:00:05 0:00:06 0:00:11 --- 
LunskoyeDeepHT_ScaleXY_8 5403 --- 79872 713 46345 0:00:04 0:00:03 0:00:03 0:00:03 0:00:03 0:00:09 --- 
LunskoyeDeepHT_none_none 5403 --- 3250585 43920 3074400 0:00:07 0:00:07 0:00:08 0:00:08 0:00:11 0:00:14 0:00:15 
LunskoyeDeepL4_ScaleXY_2 5403 --- 815104 10980 757620 --- 0:00:01 --- 0:00:07 0:00:06 0:00:14 --- 
LunskoyeDeepL4_ScaleXY_4 5403 --- 223232 2745 183915 --- 0:00:05 0:00:05 0:00:06 0:00:05 0:00:15 --- 
LunskoyeDeepL4_ScaleXY_8 5403 --- 79872 713 46345 0:00:03 0:00:03 0:00:03 0:00:03 0:00:04 0:00:11 --- 
LunskoyeDeepL4_none_none 5403 --- 3250585 43920 3074400 0:00:07 0:00:07 0:00:06 0:00:08 0:00:07 0:00:12 0:00:15 
LunskoyeDeep_test_GSY_ScaleXY_2 5337 --- 604160 10980 724680 0:00:04 0:00:05 --- 0:00:05 0:00:06 0:00:07 --- 
LunskoyeDeep_test_GSY_ScaleXY_4 5337 --- 164864 2745 175680 0:00:03 --- 0:00:01 0:00:06 0:00:05 0:00:11 --- 
LunskoyeDeep_test_GSY_ScaleXY_8 5337 --- 58368 713 44206 0:00:02 --- 0:00:02 0:00:03 0:00:04 0:00:08 --- 
LunskoyeDeep_test_GSY_none_none 5337 --- 2411724 43920 2898720 0:00:06 0:00:07 0:00:05 0:00:06 0:00:08 0:00:11 0:00:13 
LunskoyeV2005_08_ScaleXY_2 1055 --- 6451 10980 43920 0:00:01 0:00:01 --- 0:00:01 0:00:01 0:00:07 --- 
LunskoyeV2005_08_ScaleXY_4 1055 --- 2355 2745 10980 0:00:01 --- --- --- 0:00:02 0:00:06 --- 
LunskoyeV2005_08_ScaleXY_8 1055 --- 1331 713 2852 --- 0:00:01 --- 0:00:01 0:00:01 0:00:05 --- 
LunskoyeV2005_08_none_none 1055 --- 22528 43920 175680 --- --- --- 0:00:02 0:00:04 0:00:05 0:00:09 
LwrRachmat_ScaleXY_2 194 --- 114688 576 25920 0:00:22 0:00:24 0:00:39 0:00:53 0:01:11 0:03:00 --- 
LwrRachmat_ScaleXY_4 194 --- 49152 144 6336 0:00:20 0:00:20 0:00:51 0:00:51 0:01:08 --- --- 
LwrRachmat_ScaleXY_8 194 --- 32768 36 1548 0:00:21 0:00:35 0:00:43 0:00:46 0:02:37 --- --- 
LwrRachmat_none_none 194 --- 372736 2304 103680 0:00:32 0:00:33 0:00:40 0:01:02 0:01:19 0:02:10 --- 
Model3D_v5_ScaleXY_2 1866 --- 259072 3685 265320 0:00:06 0:00:06 0:00:05 0:00:05 0:00:14 0:00:10 --- 
Model3D_v5_ScaleXY_4 1866 --- 78848 952 66640 0:00:05 0:00:04 0:00:04 0:00:04 0:00:11 0:00:07 --- 
Model3D_v5_none_none 1866 --- 977920 14630 1067990 0:00:07 0:00:07 0:00:07 0:00:08 0:00:14 0:00:10 --- 
Model3D_v6_scenario8_gsy_ScaleXY_2 1888 --- 290816 3685 269005 0:00:07 0:00:07 0:00:07 0:00:07 0:00:19 0:00:09 --- 
Model3D_v6_scenario8_gsy_ScaleXY_4 1888 --- 92160 952 67592 0:00:04 0:00:05 0:00:04 0:00:03 0:00:11 0:00:04 --- 
Model3D_v6_scenario8_gsy_none_none 1888 --- 1153433 14630 1082620 0:00:08 0:00:07 0:00:10 0:00:08 0:00:20 0:00:08 0:00:15 
NVG_2004_TEST_ScaleXY_2 5063 --- 907264 14803 680938 0:02:01 --- 0:00:45 0:00:53 --- --- --- 
NVG_2004_TEST_ScaleXY_4 5063 --- 300032 3762 169290 0:00:48 --- 0:00:45 0:06:00 0:09:56 0:01:45 --- 
NVG_2004_TEST_ScaleXY_8 5063 --- 84744 957 43065 0:00:53 0:00:45 0:00:42 0:06:20 0:09:01 0:01:48 --- 
NVG_2004_TEST_none_none 5063 --- 3355443 59212 2723752 0:01:11 0:01:09 0:01:05 0:04:20 0:05:49 0:02:06 --- 
NVG_ReducedArea_25oct06_ScaleXY_2 1388 --- 229376 5859 169911 0:02:36 0:01:47 0:01:49 0:01:33 0:01:32 0:03:24 --- 
NVG_ReducedArea_25oct06_ScaleXY_4 1388 --- 82944 1504 42112 0:01:33 0:01:55 0:01:19 0:01:23 0:01:01 0:01:26 --- 
NVG_ReducedArea_25oct06_none_none 1388 --- 792576 23125 670625 0:00:24 0:00:23 0:00:27 0:01:58 0:01:34 0:01:19 --- 
NVG_Reduced_TCalib5_ScaleXY_2 1319 --- 150528 5859 169911 0:01:39 0:02:01 0:02:02 0:02:43 0:02:09 0:01:11 --- 
NVG_Reduced_TCalib5_ScaleXY_4 1319 --- 61440 1504 42112 0:00:16 0:00:17 0:00:16 0:01:57 0:01:22 0:01:08 --- 
NVG_Reduced_TCalib5_none_none 1319 --- 487424 --- --- 0:00:20 0:00:22 0:00:27 0:02:26 0:01:43 0:00:58 0:02:51 
NVG_revised_model_ScaleXY_2 6996 --- 872448 24883 870905 --- 0:01:29 0:01:45 0:01:12 0:01:07 0:01:24 --- 
NVG_revised_model_ScaleXY_4 6996 --- 304128 6300 220500 --- 0:01:03 0:01:02 0:01:00 0:01:02 0:01:32 --- 
NVG_revised_model_ScaleXY_8 6996 --- 102164 1596 54264 --- 0:00:57 0:01:07 0:00:57 0:00:54 0:02:41 --- 
NVG_revised_model_none_none 6996 --- 3145728 99234 3473190 --- 0:01:12 0:01:14 0:01:27 0:01:20 0:01:52 --- 
SAUDI1_ScaleXY_2 750 --- 848896 2928 87840 0:05:21 0:07:20 0:09:30 0:10:39 0:10:32 0:31:05 --- 
SAUDI1_ScaleXY_4 750 --- 375808 744 22320 0:05:16 0:06:47 0:05:32 0:06:11 0:09:17 0:28:16 --- 
SAUDI1_none_none 750 --- 2831155 11616 360096 0:06:40 0:08:58 0:06:50 0:08:08 0:14:14 0:31:58 0:30:24 
SimpleSMTest_none_none 100 --- 14336 441 7497 0:00:08 0:00:08 0:00:09 0:00:14 0:00:17 0:01:15 --- 
TS_3D_COUPLED_SGI_none_none 100 --- 25600 441 19845 0:00:02 0:00:02 0:00:02 0:00:03 0:00:03 0:00:10 --- 
TemperatureErosionTest_ScaleXY_2 133 --- 8601 676 14872 0:00:02 0:00:02 --- 0:00:01 0:00:01 0:00:07 --- 
TemperatureErosionTest_none_none 133 --- 27648 2601 57222 0:00:04 0:00:03 0:00:02 0:00:02 0:00:02 0:00:10 --- 
Thermal_ScaleXY_2 19013 --- 7654604 48972 2889348 --- --- 0:00:25 0:00:27 0:00:22 0:00:24 --- 
Thermal_ScaleXY_4 19013 --- 2202009 12296 725464 --- --- 0:00:25 0:00:21 0:00:19 0:00:25 --- 
Thermal_ScaleXY_8 19013 --- 781312 3074 181366 --- --- 0:00:14 0:00:15 0:00:13 0:00:20 --- 
Thermal_none_none 19013 --- 29360128 195003 11505177 --- --- 0:00:41 0:00:26 0:00:26 0:00:43 --- 
Tutorial_ScaleXY_2 177 --- 46080 729 23328 0:00:13 0:00:15 0:00:15 0:00:27 0:00:53 0:01:18 --- 
Tutorial_none_none 177 --- 141312 2862 91584 0:00:24 0:00:26 0:00:19 0:00:34 0:00:42 0:01:04 --- 
Vicksburg_Release_ScaleXY_2 1890 --- 292864 7680 261120 0:00:35 0:00:36 0:01:38 0:00:55 0:01:12 0:02:05 --- 
Vicksburg_Release_ScaleXY_4 1890 --- 71248 1920 61440 0:00:38 0:00:30 0:00:33 0:01:05 0:01:23 0:02:03 --- 
Vicksburg_Release_ScaleXY_8 1890 --- 42808 480 15360 0:00:31 0:00:33 0:00:38 0:00:52 0:01:06 0:02:02 --- 
Vicksburg_Release_none_none 1890 --- 929792 --- --- 0:00:41 0:00:41 0:00:43 0:01:10 0:01:39 0:03:06 0:04:06 
WR_Section1_ScaleXY_2 30939 --- 11534336 28196 4934300 --- --- --- 0:02:20 0:06:23 0:04:05 --- 
WR_Section1_ScaleXY_4 30939 --- 3145728 7102 1193136 --- --- --- 0:01:51 0:04:28 0:03:40 --- 
WR_Section1_ScaleXY_8 30939 --- 1258291 1802 282914 --- --- --- 0:01:42 0:04:01 0:04:03 --- 
WR_Section1_none_none 586 --- 616448 2120 226840 0:00:31 0:00:37 0:00:42 0:00:57 0:01:20 0:05:29 --- 
Zeraf_2_HRes_NewRel_ScaleXY_2 18478 --- 6920601 60630 2546460 --- --- 0:05:48 0:06:38 0:07:21 0:15:08 --- 
Zeraf_2_HRes_NewRel_ScaleXY_4 18478 --- 1557776 15222 639324 --- --- 0:05:34 0:06:46 0:07:09 0:08:06 --- 
Zeraf_2_HRes_NewRel_ScaleXY_8 18478 --- 1009498 3835 153400 --- --- 0:05:03 0:06:14 0:07:35 0:07:42 --- 
Zeraf_2_HRes_NewRel_none_none 18478 --- 23068672 241535 10144470 --- --- 0:08:54 0:10:26 0:10:00 0:11:09 --- 
opl_245_C_ScaleXY_2 52870 --- 9856614 196328 6086168 --- --- --- --- 0:18:46 0:19:22 --- 
opl_245_C_ScaleXY_4 52870 --- 3774873 49276 1527556 --- --- --- --- 0:18:02 0:20:44 --- 
opl_245_C_ScaleXY_8 52870 --- 901275 12416 372480 --- --- --- --- 0:17:28 0:21:37 --- 
opl_245_C_none_none 52870 --- 34603008 --- --- --- --- --- --- 0:18:31 0:20:09 0:26:33 
opl_245_ScaleXY_2 72843 --- 16777216 196328 9816400 --- --- --- --- 0:17:08 0:17:10 --- 
opl_245_ScaleXY_4 72843 --- 6396313 49276 2463800 --- --- --- --- 0:18:29 0:19:37 --- 
opl_245_ScaleXY_8 72843 --- 2905025 12416 595968 --- --- --- --- 0:17:25 0:16:00 --- 
project1-56M78_ScaleXY_2 79083 --- 15728640 145233 11473407 --- --- --- --- 0:00:13 0:00:17 --- 
project1-56M78_ScaleXY_8 79083 --- 1468006 9225 691875 --- --- --- --- 0:00:11 0:00:14 --- 
project2-02M46_ScaleXY_2 3744 --- 650240 7134 470844 0:00:06 0:00:06 0:00:07 0:00:09 0:00:06 0:00:15 0:00:15 
project2-02M46_ScaleXY_4 3744 --- 199680 1804 119064 0:00:05 0:00:05 0:00:04 --- 0:00:05 0:00:09 0:00:11 
project2-02M46_ScaleXY_8 3744 --- 86016 462 29568 0:00:04 0:00:02 0:00:02 0:00:05 0:00:03 0:00:12 0:00:08 
project2-02M46_none_none 3568 --- 2306867 27030 1783980 0:00:09 0:00:08 0:00:02 0:00:07 0:00:07 0:00:13 0:00:18 
project3-04M96_ScaleXY_2 6996 --- 862208 24883 870905 0:00:27 0:00:34 0:00:34 0:00:39 0:00:39 0:01:28 0:02:21 
project3-04M96_ScaleXY_4 6996 --- 293888 6300 220500 --- 0:00:33 0:00:31 --- 0:00:54 0:01:07 0:01:46 
project3-04M96_ScaleXY_8 6996 --- 149504 1596 54264 0:00:27 0:00:30 0:00:28 0:01:11 0:00:49 0:01:06 0:02:57 
project3-04M96_none_none 6996 --- 3145728 99234 3473190 --- 0:00:39 0:00:43 0:00:59 0:00:41 0:01:45 0:02:41 
project4-00M19_none_none 282 --- 342016 3834 141858 0:00:01 0:00:07 0:00:06 0:00:10 0:00:10 0:00:11 0:00:14 
project5-00M38_ScaleXY_2 427 --- 139264 1920 63360 0:00:16 0:00:28 0:00:32 0:00:51 0:01:24 0:02:24 0:03:10 
project5-00M38_ScaleXY_4 427 --- 54272 480 15840 0:00:14 0:00:27 0:00:30 0:00:52 0:01:05 0:01:41 0:02:50 
project5-00M38_ScaleXY_8 427 --- 32768 120 3720 0:00:13 0:00:26 0:00:28 0:00:41 0:00:53 0:01:23 --- 
project5-00M38_none_none 427 --- 472064 7680 253440 0:00:17 0:00:25 0:00:32 0:00:43 0:01:12 0:01:33 0:02:46 
rashda_june4_ScaleXY_2 2205 --- 1036288 5248 325376 0:01:14 0:01:34 0:01:13 0:01:36 0:01:46 0:06:50 --- 
rashda_june4_ScaleXY_4 2205 --- 337920 1312 80032 0:01:00 0:01:03 0:00:59 0:01:18 0:01:41 0:06:14 --- 
rashda_june4_none_none 2205 --- 3774873 20701 1283462 0:02:00 0:02:20 0:01:51 0:01:58 0:02:05 0:03:11 --- 
