INSTANCE MEMORY_REQUIRED TOTAL_3D_GRIDPOINTS TOTAL_2D_GRIDPOINTS 
1 2 4 8 16 32 64 
BigProject-44M18_ScaleXY_2 22633 8158239 263169 1.0 --- 4.0 5.82278481013 7.07692307692 8.67924528302 2.37113402062 
BigProject-44M18_ScaleXY_4 5681 2047519 66049 1.0 1.36170212766 1.77777777778 2.66666666667 2.90909090909 2.0 1.72972972973 
BigProject-44M18_ScaleXY_8 1432 515871 16641 1.0 1.05882352941 1.28571428571 1.2 0.9 0.246575342466 0.514285714286 
BigProject-44M18_none_none 90354 32569375 1050625 1.0 --- --- --- 16.0 21.8666666667 20.6289308176 
BrowseExtensionHigh3_ScaleXY_2 18228 8435840 75320 1.0 --- 4.0 8.20247469066 10.8998505232 12.1331114809 9.58212877792 
BrowseExtensionHigh3_ScaleXY_4 4574 2097900 18900 1.0 0.985507246377 2.11180124224 2.5468164794 1.98250728863 1.87845303867 1.54195011338 
BrowseExtensionHigh3_ScaleXY_8 1152 514080 4760 1.0 0.607142857143 1.54545454545 1.11678832117 0.884393063584 0.554347826087 0.40157480315 
BrowseExtensionHigh3_none_none 72780 33683104 300742 1.0 --- --- --- 16.0 32.2593516209 39.5294117647 
CA1_scenario2_ScaleXY_2 387 161460 3510 1.0 0.237903225806 0.880597014925 0.556603773585 0.353293413174 0.1 0.163434903047 
CA1_scenario2_ScaleXY_4 100 39468 897 1.0 0.149425287356 0.764705882353 0.448275862069 0.286764705882 0.139784946237 0.106557377049 
CA1_scenario2_ScaleXY_8 100 10560 240 1.0 0.121673003802 0.68085106383 0.372093023256 0.188235294118 0.124513618677 --- 
CA1_scenario2_none_none 1518 634570 13795 1.0 0.352380952381 1.32142857143 0.991071428571 0.616666666667 0.350157728707 0.266826923077 
F3_Salt_none_none 100 208 4 0.0 0.0 0.0 --- --- --- --- 
F3_SeaBed_none_none 100 208 4 0.0 0.0 0.0 --- --- --- --- 
FriesianSMTest_ScaleXY_2 263 117504 1728 1.0 0.285714285714 --- --- --- --- --- 
FriesianSMTest_ScaleXY_4 100 28080 432 1.0 2.0 --- --- --- --- --- 
FriesianSMTest_ScaleXY_8 100 6804 108 1.0 2.0 --- --- --- --- --- 
FriesianSMTest_none_none 1037 463488 6816 1.0 0.35593220339 --- --- --- --- --- 
Friesian_ScaleXY_2 263 117504 1728 1.0 0.223404255319 0.84 0.512195121951 0.2625 0.201923076923 0.159090909091 
Friesian_ScaleXY_4 100 28080 432 1.0 0.144444444444 0.481481481481 0.433333333333 0.254901960784 0.125 0.0992366412214 
Friesian_ScaleXY_8 100 6804 108 1.0 0.134831460674 0.666666666667 0.413793103448 0.272727272727 0.104347826087 --- 
Friesian_none_none 1037 463488 6816 1.0 0.469879518072 1.3 1.02631578947 0.696428571429 0.367924528302 0.280575539568 
Greater_Mars_Ursa_ScaleXY_2 555 249417 2331 1.0 0.212598425197 1.03846153846 0.692307692308 0.45 --- 0.160714285714 
